movie_name,featurig,genre,releasing_date
Puss in Boots: The Last Wish (2022),Antonio Banderas - Salma Hayek - Harvey Guillén - Florence Pugh,Animation :  Adventure :  Comedy : ,"Dec 21, 2022"
Babylon (2022),Brad Pitt - Margot Robbie - Jean Smart - Olivia Wilde,Comedy :  Drama :  History : ,"Dec 23, 2022"
Corsage (2022),Vicky Krieps - Colin Morgan - Finnegan Oldfield - Ivana Urban,Biography :  Drama :  History : ,"Dec 23, 2022"
Interface (2022),Samm Wiechec - Makenna Perkal - Havon Baraka - Joshua Weyers,Sci-Fi : ,"Dec 26, 2022"
Strong Enough (2022),Ashley Jerue - Demetrius Grosse - Jake Stormoen - Kim Rhodes,Drama :  Sport : ,"Dec 27, 2022"
Scarecrow (2022),Emily Sweet - Logan Hunter - Hauke Bahr,Drama : ,"Dec 28, 2022"
Mirroring Michael Jackson (2022),Michael Jackson - Darius McCrary - Gabriella Wright - Ola Ray,Documentary :  Biography :  Music : ,"Dec 29, 2022"
Trail Blazers (2022),William T. Amos - David Chokachi - Devin DeVasquez - Michael Dudikoff,Adventure : ,"Dec 30, 2022"
Puppet (2022),Julia Fox - Richie Shazam - Florine Mark - Miles Garber,Drama : ,"Dec 30, 2022"
Alien Planet (2022),Alexandra Bokova - Hunter C. Smith - Naiia Lajoie - Eric Prochnau,Sci-Fi : ,"Dec 31, 2022"
The Storm (2022),Ekow Blankson - Ama K. Abebrese - Kofi Adjorlolo - Adjetey Anang,Action :  Crime :  Drama : ,"Dec 31, 2022"
Love Song and Power (2022),Aaron Jackson - Prana Songbird - Mercedes Gutierrez - Cassidy Reyes,Drama : ,"Dec 31, 2022"
Yolo County O.G (2022),Michael Rooker - Lovi Poe,Biography :  Drama : ,"Dec 31, 2022"
Home School (2023),Charli D'Amelio,Horror : ,"Jan 01, 2023"
Born to be Great (2023),Sam Heughan - Lauren Cohan - Hala Sedki - John Moulder-Brown,Action :  Adventure :  Fantasy : ,"Jan 01, 2023"
A Scorched Earth (2023),Richard Dreyfuss - Louis Gossett Jr. - Niko El Santo Zavero - Jennifer Michelle Stone II,Action :  Adventure :  Drama : ,"Jan 01, 2023"
Werewolf Game (2023),Bai Ling - Tony Todd - Robert Picardo - Lydia Hearst,Horror : ,"Jan 01, 2023"
The Corridor Crossing (2023),William Hardin - Coraly Broxterman - Brian McCreadie - Don Stuck,Drama :  Horror :  Sci-Fi : ,"Jan 01, 2023"
Not Another Church Movie (2023),Mickey Rourke - Tisha Campbell - Vivica A. Fox - Jasmine Guy,Comedy : ,"Jan 01, 2023"
Stag (2023),Mary Glen Fredrick - Elizabeth Ramos - Stephanie Hogan - Safiya Harris,Horror : ,"Jan 01, 2023"
The Demon of Serling (2023),David E. McMahon - Arielle Fray - Shanice Lodge - Claire Louise Huder,Comedy :  Crime :  Drama : ,"Jan 01, 2023"
Crescent Gang (2023),Mariah Tavares - Brenda Daly - Mia Denae' Brathwaite - Olivia Kaiser,Family : ,"Jan 01, 2023"
Basic Psych (2023),Siena Goines - David Conrad - Michael Cerveris - Cotter Smith,Drama : ,"Jan 01, 2023"
Midnight Fading (2023),Andrew Kuokka - Liam Shi - Claire Clancy,Drama : ,"Jan 01, 2023"
WITNESS FOR THE DEFENSE (Proof of Innocence) (2023),Ephraim Benton - Eric Rolland - Dutch Eldridge - Anthony M. Walker,Documentary : ,"Jan 01, 2023"
